date,B,G,R,NIR,SWIR1,SWIR2
1999-09-28,0.0277,0.0406,0.0205,0.3779,0.1605,0.0629
2000-04-23,0.0271,0.0409,0.0315,0.2594,0.1449,0.0685
2000-07-12,0.0368,0.0559,0.0393,0.4081,0.1685,0.0738
2000-09-14,0.0185,0.0401,0.0203,0.3874,0.168,0.0681
2001-02-05,0.0433,0.0517,0.041,0.2946,0.1463,0.0675
2001-03-01,0.0432,0.0557,0.0471,0.3022,0.1586,0.0686
2001-06-29,0.027,0.0481,0.0252,0.3738,0.161,0.0714
2001-08-16,0.0262,0.0461,0.0261,0.3792,0.1697,0.0644
2001-10-03,0.0241,0.044,0.027,0.3582,0.1672,0.0651
2001-10-19,0.0256,0.0412,0.0259,0.3508,0.1612,0.0666
2002-01-23,0.0429,0.0497,0.0389,0.3179,0.138,0.0564
2002-05-31,0.0332,0.0459,0.0273,0.3988,0.1667,0.0697
2002-09-04,0.0286,0.0431,0.0224,0.3873,0.1688,0.0646
2002-10-22,0.0258,0.0436,0.0279,0.3616,0.1534,0.0671
2002-11-07,0.0315,0.0476,0.0353,0.3673,0.1619,0.0657
2002-12-09,0.037,0.0478,0.0413,0.3252,0.1582,0.0689
2003-01-10,0.0265,0.0366,0.0235,0.316,0.1513,0.062
2003-02-11,0.0416,0.0502,0.0386,0.3177,0.1562,0.0706
2003-05-02,0.0344,0.0461,0.0307,0.4211,0.1679,0.0676
2003-09-23,0.0348,0.0527,0.0269,0.4196,0.1843,0.0745
2003-10-09,0.0237,0.0419,0.0249,0.3987,0.172,0.0663
2003-10-25,0.0503,0.0602,0.046,0.38,0.1667,0.0762
2003-11-26,0.0262,0.0444,0.0234,0.3516,0.1582,0.0649
2003-12-12,0.0257,0.0402,0.0275,0.3466,0.155,0.0585
2003-12-28,0.0288,0.0406,0.0325,0.3286,0.1513,0.0609
2004-04-02,0.0559,0.0568,0.0469,0.3261,0.1674,0.0761
2004-05-20,0.036,0.0523,0.0369,0.3648,0.1652,0.0726
2004-08-24,0.0289,0.0421,0.0252,0.3748,0.1719,0.0731
2004-11-12,0.021,0.0424,0.025,0.3488,0.1569,0.063
2004-11-28,0.0252,0.0364,0.0219,0.3319,0.1505,0.0606
2004-12-30,0.0435,0.0507,0.0364,0.2984,0.1453,0.0568
2005-02-16,0.0511,0.0706,0.0545,0.3216,0.1666,0.0859
2005-03-04,0.0398,0.0527,0.0398,0.2743,0.1496,0.066
2005-10-30,0.0292,0.0448,0.0305,0.3672,0.1649,0.0622
2005-11-15,0.0296,0.0411,0.0265,0.3533,0.1592,0.0676
2005-12-01,0.025,0.0388,0.0259,0.328,0.1476,0.0636
2006-01-02,0.0344,0.0484,0.0356,0.2986,0.145,0.0647
2006-01-18,0.0253,0.0391,0.0322,0.2796,0.1509,0.0722
2006-04-08,0.0288,0.0477,0.0319,0.3607,0.1566,0.0687
2006-10-01,0.0231,0.039,0.0206,0.2589,0.1128,0.0496
2006-11-02,0.027,0.0392,0.0198,0.3499,0.1588,0.059
2006-11-18,0.0262,0.047,0.0283,0.3324,0.1553,0.0618
2006-12-20,0.029,0.0393,0.0266,0.3172,0.1487,0.0571
2007-01-05,0.0199,0.0363,0.0239,0.3228,0.1497,0.0573
2007-01-21,0.0291,0.0358,0.0267,0.3035,0.1448,0.057
2007-02-22,0.0267,0.0381,0.0182,0.3497,0.1466,0.0609
2007-03-10,0.0478,0.0543,0.037,0.3198,0.1563,0.0668
2007-04-11,0.067,0.0787,0.0606,0.3865,0.1858,0.0931
2007-04-27,0.0235,0.0429,0.0238,0.3724,0.1587,0.0683
2007-05-13,0.0284,0.0453,0.0276,0.379,0.1561,0.0611
2007-09-02,0.0317,0.0466,0.0289,0.3633,0.1657,0.07
2007-09-18,0.0347,0.0452,0.0288,0.406,0.1906,0.0745
2007-11-21,0.0267,0.0414,0.0213,0.3289,0.149,0.06
2007-12-07,0.0274,0.0412,0.0257,0.3431,0.1441,0.0587
2007-12-23,0.0358,0.0508,0.0336,0.3229,0.1442,0.056
2008-03-12,0.0441,0.0544,0.0387,0.2958,0.1501,0.0683
2008-11-23,0.0268,0.0394,0.0285,0.3021,0.1472,0.0613
2008-12-25,0.0287,0.0437,0.0314,0.3042,0.1451,0.0645
2009-01-10,0.0358,0.0476,0.0337,0.2986,0.1468,0.0635
2009-04-16,0.0363,0.0545,0.0349,0.3998,0.1657,0.0685
2009-05-18,0.0287,0.0478,0.0338,0.363,0.1644,0.0694
2009-06-11,0.0291,0.0505,0.0343,0.3626,0.1606,0.0648
2009-06-19,0.0181,0.0347,0.0199,0.2824,0.103,0.0433
2009-07-05,0.0475,0.0634,0.0488,0.3845,0.1678,0.0724
2009-10-25,0.0416,0.0534,0.0403,0.3573,0.1643,0.0728
2009-11-18,0.031,0.0473,0.0402,0.2933,0.1487,0.0686
2009-11-26,0.0323,0.0435,0.0327,0.359,0.1672,0.0721
2009-12-04,0.0276,0.0408,0.032,0.3084,0.1471,0.0626
2010-01-13,0.0342,0.0401,0.0308,0.2964,0.1424,0.0617
2010-01-29,0.0281,0.041,0.03,0.3189,0.1478,0.0612
2010-02-14,0.0297,0.039,0.0268,0.2541,0.1118,0.0465
2010-03-18,0.0408,0.0491,0.0399,0.3583,0.1612,0.0695
2010-05-21,0.0433,0.0523,0.0381,0.3506,0.1673,0.0765
2010-06-06,0.0257,0.0404,0.0288,0.3455,0.1558,0.0679
2010-10-12,0.0252,0.0377,0.0218,0.3477,0.1597,0.0708
2010-10-28,0.0336,0.0442,0.0272,0.367,0.1706,0.0689
2010-11-05,0.0257,0.039,0.0281,0.3192,0.1567,0.0658
2010-11-29,0.0321,0.0411,0.0268,0.3385,0.1472,0.061
2010-12-15,0.023,0.0357,0.0194,0.3085,0.139,0.0529
2010-12-23,0.0436,0.0616,0.0443,0.2942,0.1458,0.0613
2011-01-08,0.0356,0.0536,0.045,0.2907,0.1505,0.0611
2011-05-08,0.0832,0.0845,0.0761,0.4039,0.1554,0.0849
2011-06-17,0.0653,0.0802,0.0504,0.4427,0.1706,0.0762
2011-07-27,0.0624,0.0732,0.0581,0.4168,0.1973,0.0959
2011-09-29,0.0242,0.034,0.0213,0.3369,0.1617,0.0702
2011-10-23,0.0317,0.0494,0.0395,0.2635,0.1639,0.0825
2011-10-31,0.0426,0.0487,0.0437,0.3151,0.1778,0.0941
2011-11-16,0.0476,0.0551,0.0399,0.3104,0.17,0.0899
2011-12-02,0.0278,0.0352,0.026,0.2732,0.1569,0.07
2011-12-18,0.0317,0.0367,0.0271,0.2637,0.1285,0.0527
2012-01-03,0.0342,0.0447,0.0291,0.2924,0.1622,0.0709
2012-01-19,0.0526,0.0564,0.0497,0.2852,0.1648,0.0776
2012-02-04,0.0377,0.0452,0.0348,0.2772,0.1574,0.0698
2012-02-20,0.037,0.0484,0.0437,0.2661,0.1552,0.0817
2012-03-07,0.0477,0.0603,0.0521,0.2719,0.1752,0.0981
2012-04-08,0.0305,0.0441,0.0354,0.2586,0.1666,0.0959
2012-05-10,0.0182,0.0261,0.0164,0.204,0.0911,0.0402
2012-05-26,0.0414,0.0587,0.0511,0.356,0.1888,0.1065
2012-08-30,0.0278,0.0435,0.0348,0.3265,0.1877,0.0923
2012-10-17,0.0262,0.0414,0.0351,0.317,0.1838,0.1041
2012-12-04,0.0435,0.0496,0.0419,0.3375,0.1878,0.0859
2012-12-20,0.0304,0.045,0.0313,0.3247,0.1775,0.0899
2013-01-05,0.0272,0.0405,0.036,0.3131,0.1836,0.0906
2013-01-21,0.0347,0.0477,0.0395,0.3194,0.1798,0.091
2013-03-10,0.0681,0.0788,0.0747,0.3011,0.1951,0.1115
2013-04-11,0.0467,0.0563,0.0686,0.2628,0.2304,0.1528
2013-04-19,0.0392,0.0565,0.0626,0.2162,0.2074,0.1334
2013-05-29,0.0396,0.0565,0.0507,0.3226,0.1906,0.1065
2013-07-24,0.0243,0.0517,0.0354,0.419,0.2,0.0989
2013-08-17,0.0425,0.0557,0.0464,0.4083,0.1872,0.092
2013-09-10,0.0261,0.0503,0.0388,0.383,0.1845,0.0874
2013-10-04,0.0473,0.056,0.0437,0.3601,0.1712,0.0837
2013-10-12,0.0276,0.0545,0.0398,0.3872,0.1861,0.0878
2013-10-20,0.0332,0.0497,0.0352,0.3834,0.1883,0.0874
2013-10-28,0.0246,0.0519,0.0374,0.3935,0.1938,0.0999
2013-11-13,0.0276,0.0576,0.0406,0.3821,0.1977,0.0961
2013-11-29,0.0301,0.0539,0.0455,0.3196,0.1911,0.1059
2013-12-07,0.0335,0.0478,0.0504,0.3259,0.199,0.1147
2013-12-23,0.0429,0.0565,0.0562,0.288,0.2171,0.1184
2013-12-31,0.0445,0.0608,0.0686,0.2632,0.2331,0.1403
2014-01-08,0.0582,0.0627,0.0676,0.2533,0.2122,0.1285
2014-01-16,0.0405,0.0584,0.063,0.2528,0.2291,0.1443
2014-01-24,0.045,0.062,0.064,0.2469,0.2338,0.1485
2014-02-09,0.0588,0.0619,0.0673,0.2304,0.2128,0.1395
2014-02-17,0.0512,0.0671,0.0762,0.222,0.2363,0.1659
2014-02-25,0.0528,0.0691,0.0872,0.2543,0.2669,0.1853
2014-03-21,0.0482,0.069,0.0814,0.2395,0.2433,0.1672
2014-03-29,0.0575,0.0704,0.0855,0.2765,0.2445,0.1676
2014-04-22,0.0426,0.0654,0.0706,0.2969,0.2292,0.1482
2014-05-16,0.0351,0.0594,0.0515,0.3162,0.1937,0.1156
2014-06-17,0.0409,0.0566,0.0459,0.3986,0.1909,0.0904
2014-07-03,0.0446,0.06,0.0465,0.4552,0.1952,0.0874
2014-08-12,0.0276,0.0516,0.0375,0.3782,0.1726,0.0776
2014-09-29,0.0225,0.0495,0.0339,0.3777,0.1959,0.0952
2014-10-07,0.0296,0.0516,0.0299,0.4158,0.1947,0.079
2014-10-23,0.0368,0.056,0.0409,0.403,0.1919,0.0877
2014-10-31,0.0278,0.0568,0.0426,0.3985,0.1995,0.0879
2014-11-08,0.0261,0.0494,0.037,0.4038,0.1881,0.0762
2014-11-16,0.024,0.0477,0.0323,0.3684,0.1661,0.079
2014-11-24,0.0284,0.0456,0.033,0.3807,0.1849,0.0832
2014-12-10,0.0288,0.0465,0.0331,0.3598,0.185,0.0808
2014-12-18,0.0271,0.0526,0.0391,0.3545,0.1897,0.0901
2015-01-03,0.0348,0.0557,0.0534,0.3072,0.2148,0.1218
2015-01-11,0.0456,0.056,0.0587,0.2907,0.2237,0.1255
2015-01-19,0.0495,0.0674,0.0713,0.3,0.2675,0.1618
2015-01-27,0.0409,0.0556,0.0631,0.2606,0.2337,0.1385
