,S_def,S_deg,S_noch,S_all
B,0.00615384615384615,0.521307692307693,0.281538461538464,0.218538461538463
G,0.617230769230771,0.0590000000000009,0.966999999999995,0.529384615384618
R,0.922769230769219,0.305461538461538,0.643692307692315,0.688615384615388
NIR,0.26423076923077,0.503307692307692,0,0.001
SWIR1,0.490615384615383,0.0266923076923076,0.845384615384606,0.401153846153839
SWIR2,0.999923076923077,0.795307692307686,0.769230769230756,0.985846153846152
NDVI,0.424384615384611,0.723076923076924,0.48176923076923,0.645000000000007
NDMI,0.736538461538459,0.652000000000005,0.661615384615392,0.817923076923068
NBR,0.56946153846154,0.347615384615384,0.431769230769227,0.474769230769228
NBR2,0.0931538461538479,0.171384615384618,0.465692307692305,0.162692307692308
TCB,0.28269230769231,0.280846153846155,0.158538461538465,0.237000000000002
TCG,0.143846153846156,0.957384615384611,0.0769230769230787,0.154153846153847
TCW,0.655076923076926,0.892153846153838,0.950846153846147,0.937153846153837
TCA,0.79392307692307,0.764461538461537,0.266000000000001,0.746769230769227
